"node_1","node_2","edge"
4806,334905,5
4807,229103,5
4807,278389,5
229103,278389,5
4807,252304,5
229103,252304,5
278389,252304,5
4807,100247,5
229103,100247,5
278389,100247,5
252304,100247,5
13810583,100247,5
4807,14103,5
229103,14103,5
278389,14103,5
252304,14103,5
13810583,14103,5
100247,14103,5
4807,278107,5
229103,278107,5
278389,278107,5
13810583,278107,2
100247,278107,5
14103,278107,5
4806,784359,5
334905,784359,5
14103,22285489,5
278107,22285489,5
4807,85534,5
229103,85534,5
278389,85534,5
252304,85534,5
100247,85534,5
14103,85534,5
278107,85534,5
22285489,85534,5
4806,254314,5
334905,254314,5
784359,254314,5
784359,958,5
254314,958,5
278107,20131,1
85534,20131,1
229103,20377,4
278389,20377,5
100247,20377,5
14103,20377,5
278107,20377,1
85534,20377,2
19894,20416,5
20131,20416,5
100247,32747324,3
14103,32747324,2
85534,32747324,1
19894,32747324,2
4806,12970,5
334905,12970,5
784359,12970,5
254314,12970,5
278389,376766,5
100247,376766,5
278107,376766,1
20416,20524,1
13810583,19177,5
85534,19177,1
229103,26355171,5
278389,26355171,5
252304,26355171,5
13810583,26355171,3
100247,26355171,5
22285489,26355171,5
13810583,19178,5
229103,19733,3
278389,19733,5
100247,19733,5
14103,19733,5
278107,19733,5
85534,19733,5
20131,19733,1
20416,19733,1
32747324,19733,3
26355171,19733,1
14103,19613,5
19894,19613,5
20131,19613,3
20416,19613,5
4807,31629106,5
229103,31629106,5
278389,31629106,5
252304,31629106,5
13810583,31629106,5
100247,31629106,5
14103,31629106,5
278107,31629106,5
85534,31629106,5
19445,31629106,1
19198,31629106,2
20131,31629106,5
20377,31629106,5
32747324,31629106,3
376766,31629106,5
19177,31629106,4
26355171,31629106,5
19178,31629106,3
19733,31629106,5
19894,20831,2
20416,20831,5
19613,20831,5
784359,17299,3
20416,3447,3
31629106,20839,2
4807,22215170,5
229103,22215170,5
252304,22215170,5
13810583,22215170,4
3298,22215170,1
19198,22215170,5
20524,22215170,1
26355171,22215170,5
14103,3705455,1
13810583,19629,5
376766,19629,5
26355171,19629,2
20839,19629,1
22215170,3127,2
19894,20471,2
20416,20471,5
32747324,20471,5
19733,20471,2
19613,20471,5
20831,20471,3
19117,19978,1
19595,19978,2
19894,19978,5
4238,19978,1
19445,19978,1
3295,19978,2
4414,19978,2
19198,19978,3
20131,19978,5
20377,19978,1
20416,19978,5
20524,19978,4
19177,19978,4
19733,19978,3
19613,19978,5
20831,19978,5
3447,19978,3
3125,19978,2
20471,19978,5
4806,4722,2
13810583,4722,2
254314,4722,5
958,4722,2
19733,4722,2
17299,4722,5
3705455,4722,1
19629,4722,5
334905,290457,5
100247,290457,5
14103,290457,5
85534,290457,4
254314,290457,5
12970,290457,3
19733,290457,2
31629106,290457,5
22215170,290457,5
20831,2416014,5
20471,2416014,2
4722,2416014,2
19894,17000313,5
32747324,17000313,5
20831,17000313,3
19894,19647,5
20131,19647,3
20416,19647,5
20524,19647,1
19733,19647,3
19613,19647,5
20831,19647,5
20471,19647,5
19978,19647,5
290457,19647,5
334905,137295,5
12970,137295,1
4722,137295,1
14103,951542,5
17000313,951542,1
22285489,19825,5
32747324,19825,5
376766,19825,5
26355171,19825,5
19733,19825,1
20839,19825,1
22215170,19825,3
3705455,19825,5
26355171,20441,4
22215170,20441,5
951542,20441,5
19825,20441,5
229103,4416,5
278389,4416,5
252304,4416,5
