"node_1","node_2","edge"
1,10021,5
1,10041,5
10021,10041,5
10041,10047,2
1,10128,4
10021,10128,5
10041,10128,5
10041,10129,3
1,10131,5
10021,10131,2
10063,10131,5
10128,10131,5
1,10149,5
10021,10149,5
10041,10149,5
10063,10149,4
10128,10149,5
10131,10149,4
10128,1020,5
10131,1020,1
1,1025,3
10063,1025,1
10063,1039,5
10131,1039,5
10149,1039,5
1,10395,5
10021,10395,5
10041,10395,5
10063,10395,1
10128,10395,5
10131,10395,5
10149,10395,5
1039,10395,1
1,10450,5
10021,10450,3
10129,10450,2
10149,10450,3
10395,10450,5
10063,105204,5
10129,105204,4
10131,105204,2
1039,105204,5
10041,10670,4
10047,10670,5
1039,10670,5
10041,10675006,1
10047,10675006,4
10063,10675006,5
10131,10675006,1
10149,10675006,3
1039,10675006,5
105204,10675006,2
10021,10707,3
10041,10707,4
10047,10707,2
10063,10707,5
10149,10707,5
10675006,10707,5
1,10708,5
10063,10708,5
10129,10708,3
10149,10708,5
1025,10708,3
1039,10708,5
10395,10708,5
10450,10708,1
105204,10708,3
1,10710,5
10021,10710,5
10041,10710,5
10128,10710,4
10129,10710,4
10131,10710,2
10149,10710,5
10395,10710,5
10450,10710,5
10708,10710,5
10021,10713,1
10041,10713,2
10047,10713,3
10063,10713,1
10129,10713,2
1025,10713,5
105204,10713,3
10670,10713,3
10675006,10713,2
10707,10713,5
1,10716,5
10021,10716,5
10063,10716,4
10128,10716,1
10149,10716,5
1025,10716,5
1039,10716,2
10395,10716,5
10450,10716,1
10675006,10716,2
10707,10716,5
10708,10716,5
10710,10716,5
10713,10716,5
10021,10717,1
10047,10717,3
10063,10717,5
10131,10717,1
10149,10717,5
1039,10717,5
10395,10717,2
10450,10717,1
105204,10717,2
10675006,10717,3
10707,10717,4
10708,10717,5
10716,10717,3
1,10721,5
10063,10721,5
10129,10721,1
10149,10721,1
1025,10721,1
1039,10721,5
10395,10721,3
105204,10721,5
10708,10721,5
10710,10721,3
10713,10721,1
10716,10721,3
10717,10721,3
1,10723,3
10021,10723,3
10041,10723,1
10063,10723,5
10128,10723,5
10131,10723,2
10149,10723,5
1020,10723,3
1039,10723,5
10395,10723,5
105204,10723,5
10675006,10723,5
10707,10723,3
10708,10723,1
10710,10723,2
10716,10723,4
10717,10723,3
10721,10723,3
1,10725,1
10063,10725,3
1025,10725,5
10670,10725,5
10675006,10725,5
10707,10725,5
10713,10725,5
10716,10725,3
10063,10726,5
10131,10726,5
10149,10726,5
1025,10726,1
1039,10726,5
10395,10726,4
10450,10726,5
10675006,10726,2
10708,10726,5
10716,10726,5
10717,10726,5
10721,10726,5
1,10731,5
10021,10731,5
10041,10731,5
10128,10731,5
10129,10731,4
10131,10731,5
10149,10731,5
10395,10731,5
10450,10731,5
10708,10731,4
10710,10731,5
10716,10731,5
10721,10731,3
10723,10731,5
10063,10734,5
10129,10734,3
10149,10734,5
1025,10734,4
1039,10734,3
10450,10734,3
10675006,10734,5
10707,10734,5
10708,10734,4
10710,10734,3
10713,10734,3
10716,10734,5
10717,10734,3
10721,10734,2
10723,10734,2
10725,10734,5
10726,10734,5
10731,10734,2
10047,10737,3
10063,10737,4
10118,10737,2
10149,10737,4
10675006,10737,5
10707,10737,5
10713,10737,3
10716,10737,3
10717,10737,1
10723,10737,2
10725,10737,5
10734,10737,5
10041,10743,2
10047,10743,1
1025,10743,5
10707,10743,5
10708,10743,2
10713,10743,5
10716,10743,5
10717,10743,3
10721,10743,5
10723,10743,3
10725,10743,1
10041,10749,1
1025,10749,5
10670,10749,5
10707,10749,5
10708,10749,3
10713,10749,5
10716,10749,5
10721,10749,5
10723,10749,2
10725,10749,5
10743,10749,5
1,10751,5
10021,10751,1
10047,10751,2
10063,10751,4
10129,10751,5
10149,10751,2
10395,10751,5
105204,10751,5
10708,10751,3
10710,10751,5
10713,10751,2
10717,10751,1
10726,10751,2
10731,10751,5
10734,10751,2
10737,10751,2
1,10753,3
10021,10753,2
10063,10753,5
10131,10753,3
10149,10753,5
1039,10753,5
10395,10753,5
105204,10753,5
10675006,10753,5
10707,10753,5
10708,10753,3
10710,10753,2
10716,10753,3
10717,10753,1
10721,10753,5
10723,10753,5
10725,10753,5
10731,10753,4
10734,10753,4
10737,10753,5
10751,10753,3
1,10761,4
10021,10761,5
10041,10761,4
10047,10761,3
10063,10761,2
10128,10761,5
10149,10761,5
10395,10761,5
10670,10761,1
10707,10761,5
10708,10761,2
10710,10761,5
10713,10761,5
10716,10761,5
10717,10761,2
10721,10761,1
10723,10761,3
10726,10761,3
10731,10761,5
10734,10761,1
10737,10761,3
10743,10761,5
10749,10761,5
1,10764,3
10021,10764,1
10047,10764,5
10063,10764,1
10149,10764,1
1025,10764,4
10395,10764,4
10670,10764,5
10707,10764,4
10710,10764,1
10713,10764,5
10716,10764,4
10725,10764,5
10726,10764,1
10731,10764,2
10734,10764,3
10737,10764,3
10743,10764,3
10749,10764,5
10753,10764,1
10761,10764,3
10021,10765,4
10047,10765,3
10149,10765,2
1025,10765,5
1039,10765,3
10395,10765,1
10675006,10765,5
10708,10765,1
10713,10765,4
10716,10765,4
10726,10765,3
10734,10765,1
10743,10765,5
10749,10765,5
10761,10765,1
10764,10765,1
1,10766,2
1025,10766,5
10670,10766,5
10708,10766,2
10713,10766,4
10716,10766,4
10721,10766,2
10725,10766,5
10726,10766,5
10734,10766,1
10743,10766,5
10749,10766,5
10764,10766,5
10765,10766,2
10041,10769,5
10131,10769,1
1025,10769,3
1039,10769,1
10450,10769,1
10670,10769,5
10675006,10769,2
10707,10769,5
10708,10769,1
10713,10769,4
10716,10769,5
10717,10769,1
10721,10769,5
10723,10769,3
10725,10769,5
10743,10769,5
10749,10769,5
10761,10769,4
10764,10769,4
10765,10769,4
10766,10769,5
1025,10774,4
1039,10774,3
10450,10774,2
10670,10774,5
10713,10774,2
10725,10774,5
10734,10774,3
10749,10774,3
10764,10774,3
10765,10774,2
10766,10774,5
10769,10774,4
10063,10775,5
10149,10775,1
1039,10775,5
10670,10775,5
10675006,10775,2
10708,10775,3
10717,10775,5
10725,10775,3
10726,10775,5
10734,10775,3
10749,10775,3
10766,10775,1
10769,10775,5
10774,10775,5
1,10777,5
10063,10777,4
10149,10777,3
1025,10777,5
1039,10777,5
10395,10777,3
10670,10777,3
10675006,10777,2
10707,10777,5
10708,10777,5
10713,10777,3
10716,10777,5
10717,10777,5
10721,10777,5
10725,10777,4
10726,10777,5
10734,10777,3
10737,10777,3
10743,10777,5
10749,10777,5
10751,10777,1
10753,10777,2
10761,10777,2
10764,10777,5
10765,10777,3
10766,10777,5
10769,10777,5
10774,10777,3
10775,10777,5
1,10778,4
10021,10778,2
10041,10778,2
10047,10778,1
10128,10778,1
10131,10778,1
10149,10778,2
10395,10778,3
10708,10778,1
10710,10778,3
10716,10778,2
10726,10778,2
10731,10778,3
10743,10778,1
10749,10778,1
10761,10778,2
10769,10778,1
10774,10778,1
10777,10778,1
1,10780,5
10021,10780,5
10041,10780,4
10128,10780,3
10129,10780,2
10131,10780,3
10149,10780,5
10395,10780,5
10450,10780,2
10708,10780,5
10710,10780,5
10713,10780,3
10716,10780,5
10721,10780,3
10723,10780,3
10731,10780,5
10734,10780,3
10737,10780,1
10743,10780,4
10749,10780,5
10751,10780,3
10753,10780,3
10761,10780,5
10764,10780,5
10765,10780,2
10766,10780,2
10769,10780,3
10777,10780,3
10778,10780,2
1,10782,3
10021,10782,4
10041,10782,3
10128,10782,2
10131,10782,2
10149,10782,5
1025,10782,3
10395,10782,5
10450,10782,2
10670,10782,2
10707,10782,1
10708,10782,3
10710,10782,4
10713,10782,3
10716,10782,5
10721,10782,5
10723,10782,1
10726,10782,2
10731,10782,5
10743,10782,3
10749,10782,3
10751,10782,2
10753,10782,1
10761,10782,3
10764,10782,4
10765,10782,3
10766,10782,5
10769,10782,3
10774,10782,1
10777,10782,3
10780,10782,3
1,10787,3
10021,10787,3
10041,10787,2
10063,10787,1
10128,10787,2
10131,10787,3
